Source,Target,type,weight
51,52,directed,1
51,202,directed,1
51,8,directed,1
51,4,directed,1
51,10,directed,1
337,338,directed,1
337,339,directed,1
337,340,directed,1
337,341,directed,1
337,3,directed,1
342,246,directed,1
342,265,directed,1
342,3,directed,1
342,241,directed,1
342,242,directed,1
342,140,directed,1
342,182,directed,1
342,9,directed,1
217,3,directed,1
217,218,directed,1
217,219,directed,1
217,202,directed,1
217,220,directed,1
124,69,directed,1
124,202,directed,1
124,47,directed,1
124,91,directed,1
61,4,directed,1
61,44,directed,1
61,62,directed,1
61,63,directed,1
61,3,directed,1
61,12,directed,1
61,64,directed,1
61,65,directed,1
61,202,directed,1
61,10,directed,1
61,209,directed,1
61,259,directed,1
61,66,directed,1
61,67,directed,1
61,48,directed,1
260,201,directed,1
3,170,directed,1
3,25,directed,1
3,204,directed,1
3,205,directed,1
3,156,directed,1
261,199,directed,1
261,3,directed,1
261,4,directed,1
261,202,directed,1
87,2,directed,1
87,12,directed,1
87,63,directed,1
87,48,directed,1
87,57,directed,1
262,37,directed,1
262,140,directed,1
262,219,directed,1
262,202,directed,1
262,263,directed,1
262,264,directed,1
262,87,directed,1
262,265,directed,1
262,2,directed,1
262,53,directed,1
262,232,directed,1
262,203,directed,1
262,268,directed,1
262,266,directed,1
262,267,directed,1
262,226,directed,1
262,269,directed,1
262,271,directed,1
262,3,directed,1
262,218,directed,1
262,270,directed,1
262,250,directed,1
262,343,directed,1
262,272,directed,1
274,321,directed,1
274,134,directed,1
274,201,directed,1
274,276,directed,1
274,322,directed,1
274,139,directed,1
274,277,directed,1
274,7,directed,1
99,4,directed,1
99,202,directed,1
99,91,directed,1
99,69,directed,1
99,47,directed,1
13,0,directed,1
13,5,directed,1
13,4,directed,1
13,3,directed,1
13,66,directed,1
344,297,directed,1
344,266,directed,1
344,170,directed,1
344,345,directed,1
344,346,directed,1
344,175,directed,1
344,347,directed,1
344,181,directed,1
273,274,directed,1
273,206,directed,1
273,201,directed,1
273,134,directed,1
273,275,directed,1
273,21,directed,1
273,276,directed,1
273,277,directed,1
273,7,directed,1
296,297,directed,1
296,3,directed,1
296,134,directed,1
296,266,directed,1
296,298,directed,1
296,289,directed,1
296,300,directed,1
296,288,directed,1
296,67,directed,1
296,202,directed,1
296,299,directed,1
296,25,directed,1
296,21,directed,1
296,205,directed,1
64,44,directed,1
64,66,directed,1
64,67,directed,1
64,3,directed,1
64,10,directed,1
348,131,directed,1
348,3,directed,1
348,44,directed,1
349,270,directed,1
349,44,directed,1
349,350,directed,1
349,47,directed,1
349,3,directed,1
349,156,directed,1
212,278,directed,1
212,202,directed,1
212,214,directed,1
212,215,directed,1
212,216,directed,1
212,12,directed,1
212,156,directed,1
339,137,directed,1
339,44,directed,1
339,138,directed,1
339,3,directed,1
307,3,directed,1
307,156,directed,1
182,47,directed,1
182,202,directed,1
182,44,directed,1
182,10,directed,1
182,279,directed,1
182,280,directed,1
182,3,directed,1
182,8,directed,1
182,137,directed,1
182,4,directed,1
182,138,directed,1
182,139,directed,1
182,67,directed,1
182,9,directed,1
281,282,directed,1
281,283,directed,1
281,286,directed,1
281,268,directed,1
281,285,directed,1
281,37,directed,1
281,267,directed,1
281,271,directed,1
281,288,directed,1
281,272,directed,1
281,202,directed,1
281,219,directed,1
281,289,directed,1
281,266,directed,1
281,284,directed,1
351,282,directed,1
351,155,directed,1
351,290,directed,1
351,266,directed,1
351,289,directed,1
351,287,directed,1
351,286,directed,1
351,67,directed,1
351,93,directed,1
351,288,directed,1
351,352,directed,1
351,278,directed,1
351,284,directed,1
351,353,directed,1
351,12,directed,1
351,354,directed,1
351,293,directed,1
351,216,directed,1
351,202,directed,1
351,214,directed,1
351,215,directed,1
351,140,directed,1
351,247,directed,1
351,156,directed,1
290,283,directed,1
290,155,directed,1
290,6,directed,1
290,182,directed,1
290,284,directed,1
290,57,directed,1
114,17,directed,1
114,4,directed,1
114,68,directed,1
114,12,directed,1
114,355,directed,1
114,202,directed,1
114,8,directed,1
114,10,directed,1
114,47,directed,1
356,2,directed,1
356,57,directed,1
357,3,directed,1
11,3,directed,1
11,4,directed,1
11,9,directed,1
11,259,directed,1
11,47,directed,1
11,48,directed,1
155,21,directed,1
155,41,directed,1
155,24,directed,1
155,267,directed,1
155,3,directed,1
358,59,directed,1
263,2,directed,1
263,3,directed,1
263,4,directed,1
263,1,directed,1
263,6,directed,1
263,202,directed,1
263,8,directed,1
263,9,directed,1
263,12,directed,1
